"Projektitel / Operation name";"Startdato / Operation start date";"Slutdato / Operation end date";"Prioritetsakse / Priority axis";"Budget / Budget";"EU-medfinansiering / Union co-financing";"EU-medfinansieringssats / Union co-financing rate";"Projektbeskrivelse";"Fond / Fund";"Region / Region";"Land / Country";"Kontraktansvarlig partner / Beneficiary name";"Vejnavn / Street name";"Postnr / Operation postcode";"Bynavn / City name";"Koordinat east / Coordinates east";"Koordinat north / Coordinates north";"Kontaktperson / Contacts";"Partere / Project partners"
"KOMPETENCEFORSYNiNGmidt";"18.09.2014";"28.02.2017";"4 Uddannelse.
Erhv.fagl.udd.(voksne) og vid.udd.";"3.500.000";"1.750.000";"50%";"KOMPETENCEFORSYNINGmidt vil have fokus på virksomheders behov for kompetencer og vil stimulere igangsættelse af efteruddannelsesaktiviteter mhp. at øge produktivitet og jobskabelse. Omdrejningspunktet i projektet er at skabe et tæt samarbejde mellem hhv. uddannelses-, erhvervs- og beskæftigelsesområderne om den opsøgende kontakt over for virksomhederne og deres ansatte. Dette for at sikre, at partnerne får lige nøjagtig den service, de har behov for ift. mulighederne for at modtage erhvervsfaglig og videregående uddannelse. Samarbejdet kaldes lokale koordinerende partnerskaber og skal sikre et mere effektivt kompetencematch, via en fælles koordineret indsats om at kvalificere arbejdsstyrken, så den på sigt skaber et øget fagligt kompetenceniveau hos medarbejderne. Projektaktiviteter:1) En opsøgende indsats;  med henblik på at finde relevante og interesserede virksomheder, 2) Vejledning; vejlede de enkelte medarbejdere om uddannelsesmuligheder og -behov, 3) Screening; udarbejde Real Kompetence Vurdering (før-afklaring) for medarbejdere, hvor denne er rettet imod den enkelte medarbejders jobfunktion i virksomheden og eventuelle behov for omskoling jf. eventuelle ændringer af arbejdsopgaver samt virksomhedens kompetencebehov og 4) Videreuddannelse; videreuddanne medarbejdere alternativt tiltrække højtuddannet udenlandsk arbejdskraft såfremt den efterspurgte faglighed ikke kan findes. Resultatmål: 1) 300 virksomheder besøges, 2) 350 medarbejdere modtager vejledning, 3) 200 ansatte screenes og modtager en RKV/før-afklaring med henblik på, at 4) 30 medarbejdere modtager erhvervsfaglig og videregående uddannelse. Der vil løbende være et fokus på virksomhedernes kompetencebehov, herunder om der er behov for allokering af højtuddannet udenlandsk arbejdskraft.
";"S";"Midtjylland";"Denmark";"Væksthus Midtjylland";"Åbogade 15";"8200";"Århus N";"573736.19";"6225873.52";"Annemarie Elverum,20 33 90 33,ae@vhmidtjylland.dk.
Lars Noesgaard Zederkof,29 24 88 68,lan@vhmidtjylland.dk";"AARHUS TECH.
UCH Uddannelsescenter Holstebro.
Mercantec"
"Pilotprogram for maritim udvikling";"13.10.2014";"31.12.2016";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"6.441.620";"2.984.500";"46%";"Nordjylland har en lang og stærk tradition inden for det maritime område og er i dag Danmarks stærkeste klynge med hensyn til maritim service og reparation. For at udnytte dette potentiale ønsker Maritimt Center for Optimering og Drift (MARCOD) at etablere et mindre rammeprogram, der skal føre motiverede maritime virksomheder ind i udviklingsforløb med fokus på vækst inden for markedsudvikling, teknologiudvikling, netværks- og kompetenceudvikling. 
Pilotprogrammet skal indeholde et mix af relevante ydelser fra MARCOD samt eksterne konsulentydelser til de deltagende virksomheder. Programmet kan bidrage til at motivere til vækst ved synliggørelse af udviklingspotentialer hos den enkelte virksomhed og igangsætte strategiudviklingsprojekter, fx professionalisering af salgsindsatsen. En anden udfordring er virksomhedernes parathed til at videreudvikle sig i det maritime marked og offshore markedet, hvor der stilles høje krav til dokumentation, certifikater og kvalitetsstyring. Programmet skal bidrage til at hjælpe de maritime SMVere med at drive teknologiudviklingsprojekter gennem de første faser, indtil de er modne til at indgå i større maritime udviklingspuljer som fx EUDP og Horizon 2020.  Der er store potentialer for de maritime nordjyske virksomheder bl.a. i nye miljøkrav til skibstrafikken, men også i forbindelse med planlagte udvidelser af de nordjyske havne. 
Med overskriften pilotprogram henvises til, at MARCOD på længere sigt ønskes udviklet til et fuldt dækkende kompetenceudviklingscenter for den nordjyske/danske maritime industri. Der argumenteres grundigt for, at den maritime sektor fungerer på særlige vilkår, som fordrer en sektorspecifik tilgang, som ikke kan leveres af det eksisterende erhvervsfremmesystem med en programansvarlig aktør med særlig indsigt i det maritime område.De udviklingsforløb, der tilbydes de maritime virksomheder, er indenfor markedsudvikling, produkt- og teknologiudvikling samt kompetenceudvikling.
";"R";"Nordjylland";"Denmark";"Fonden Marcod-Maritimt Center for Optimering og Drift";"Silovej 8";"9900";"Frederikshavn";"592736.07";"6367317.75";"Allan Hejslet,,ah@marcod.dk";""
"e-Patient";"21.08.2014";"31.03.2017";"1 Styrket innovation i SMVer.
Innovation og videndeling";"9.130.840";"4.565.420";"50%";"I e-patient projektet udvikles nye, innovative og skalerbare koncepter for digital patientforberedelse og patientkommunikation. I alt 6-8 koncepter vil blive udviklet og herunder 25 specifikke udviklings- og testforløb og varierende løsninger i løbet af en 2-årig projektperiode.
På landsplan er det blevet besluttet, at alle patientindkaldelser i det danske sundhedsvæsen skal foregå digitalt inden udgangen af 2014. Der er dog ikke udviklet løsninger til at løfte de muligheder for patientinformation og kommunikation, der åbnes i den forbindelse. Projektet handler derfor om at udvikle den digitale platform til en række konkrete informationsfilm. Løsningen vil være tilgængelig på alle digitale platforme og kombineres med de muligheder, der ligger her. På den måde imødekommes patienternes ønske om og behov for personlig, fleksibel og lettilgængelig information og forberedelse. 
Projektet er sammensat i et partnerskab mellem OUH, SDU (Institut for Entreprenørskab og Relationsledelse), 6 regionale SMVer med kompetencer indenfor udvikling af apps, web og video, samt eksterne rådgivere, som skal bistå med kommercialisering og forretningsudvikling i projektperioden.
";"R";"Syddanmark";"Denmark";"Region Syddanmark";"Sdr. Boulevard 29";"5000";"Odense C";"586752.08";"6138505.78";"Maj Jørgensen,24 94 60 32,maj.joergensen@rsyd.dk.
Kenneth Pedersen,24977926,reg.forskerservice@rsyd.dk";"MedWare ApS"
"Fra udsat til ansat - virkeligheden tæller";"01.12.2015";"31.12.2018";"3 Social inklusion.
Aktiv inklusion";"11.435.625";"4.120.256";"36%";"Social inklusion  Fra udsat til ansat  virkeligheden tællerFormål: Projektet er et joborienteret udviklings-/mestringsforløb, der skal hjælpe, vejlede og motivere behandlede sindslidende eller mennesker med en lettere sindslidelse tilbage til arbejdsmarkedet. Forventede effekter:Det forventes, at 54 deltagere gennemfører et indslusningsforløb, at 6 deltagere er beskæftiget i socialøkonomiske virksomheder umiddelbart efter deltagelsen, samt at 23 deltagere er i beskæftigelse umiddelbart efter deltagelsen. Aktiviteter: Projektet udbydes i Frederikshavn Kommune, og er et 40 ugers joborienteret udviklingsprojekt. Det indeholder fire faser: 1. Henvisning og forberedelse til deltagelse i projektet á tre ugers varighed. 2. Gennemførelse af joborienteret udviklings-/mestringsforløb.3. Udvælgelse af virksomhedspraktikmulighed og efterfølgende arbejde i virksomhedspraktikken.4. Efterværn i forhold til ikke afsluttede virksomhedspraktikker og borgere, der er overgået i job. Efterværnet påregnes at fortsætte op til et halvt år efter ansættelsen. Øvrige oplysninger: Den socialøkonomiske virksomhed Topvirk er kontraktansvarlig partner. Jobcenter Frederikshavn og Center for Handicap og Psykiatri er økonomiske partnere i projektet. 
";"S";"Nordjylland";"Denmark";"Topvirk";"Maigaardsvej 12A";"9900";"Frederikshavn";"590127.84";"6368199.58";"Henrik Dørum,7262 9002,hd@topvirk.dk.
Anne Møller Park,2175 9765,anne@numberz.dk";"Frederikshavn Kommune.
Frederikshavn Kommune.
Frederikshavn Kommune"
"Digitaliseret Optimal Path to Growth";"01.12.2015";"31.08.2017";"1 Styrket innovation i SMVer.
Innovation og videndeling";"2.958.472";"1.331.313";"45%";"Innovativt digitalt strategiudviklingsværktøj.Formålet er, at udvikle prototypen på et innovativt digitalt strategiudviklingsværktøj, der kan bidrage til at flere SMVer får adgang til state-of-the-art ledelses- og beslutningsværktøj. Et digitalt ledelsesværktøj, der kan understøtte ledere i strategiudvikling samt effektiv gennemførsel af beslutninger og implementering af strategien. Dette uden at overlade styringen af virksomheden til en bestyrelse eller skulle afsætte 250.000-500.000 kr. til ledelsesrådgivning. Håbet er, at vi med prototypen vil kunne udvikle os til en innovativ virksomhed med fokus på salg af digitale og intelligent ledelsesværktøj.
Projektets forventede effekter er:- En ny innovativ virksomhed- 1 prototype på Digital Optimal Path to Growth- 10 testforløb på bornholmske vækstvirksomheder- Øget omsætning på i alt 15 mio kr efter projektperioden- Generering af to jobs i projektets levetid samt 10 jobs efter projektperioden.
DecideAct Management lever i dag af at bistå organisationer med at definere den optimale vej til vækst og optimere deres potentiale. Vi er specialister i udvikling af intelligente løsninger til ledelse og konsulenter, og målet er at blive den førende state of the art leverandør af intelligente strategi- og beslutningsløsninger til organisationers ledelse.
";"R";"Bornholm";"Denmark";"DecideAct Management ApS";"Gl. Rønnevej 7";"3730";"Nexø";"890649.09";"6118912.57";"Flemming Videriksen,27114460,fv@decideact.net.
Mette Justesen,,mj@decideact.net";""
"Ungeguide (Tidligere Ung på vej og Social Helpdesk)";"01.08.2015";"31.07.2019";"3 Social inklusion.
Aktiv inklusion";"16.066.624";"8.033.312";"50%";"Ungeguide
Projekt Ung På Vej og Ungeguide har til formål at bygge bro til Ungdomsuddannelse for udsatte unge OG støtte dem i at gennemføre. 
Hvor Ung På Vej har fokus på klargøring og tilegnelse af sociale og faglige kompetencer til indtrædelse i Ungdomssuddannelse har Ungeguide til formål at danne backup for de unge, der har startet ungdomsuddannelse. Ung På vej er et opsøgende/agerende tilbud, hvor Ungeguide i højere grad er et tilbud i beredskab/reagerende.Begge disse tiltag har form af projekter, fordi en sådan ændring af praksis tager tid og kræver udvidet dataindsamling. 
Projektet skal gennem en periode på 4 år udvikles og implementeres i en bornholmsk kontekst.
Målgruppen er unge bornholmere, der oplever barriererer ift skole, uddannelse og/eller arbejde eller unge bornholmere i ungdomsuddannelse, der er i risiko for at falde ud af uddannelse.Ung På Vej er en faseinddelt forberedelsesforløb der skal hjælpe den unge til at danne bro inde til Ungdomsuddannelse.Ungeguide er et tilgængeligt tilbud på ungdomsuddannelserne, hvor den unge kan finde vejledning, støtte og overblik over muligheder. 
Indikatorer (KPI) i forhold til projektets effekt:1. Antal unge der starter ungdomsuddannelse2. Antal unge der gennemfører ungdomsuddannelse3. Antal brugere af Ungeguide4. Antal indskrevne i Ung På Vej
";"S";"Bornholm";"Denmark";"Bornholms Regionskommune";"Vibegårdsvej 2";"3700";"Rønne";"865496.28";"6120025.08";"Jeanette Dalsgaard,56922898,uta@brk.dk.
Flemming Storgaard,5692 2897,uta@brk.dk.
Jeannette Dalsgaard,5692 2898,jeannette.dalsgaard@brk.dk";"Bornholms Regionskommune.
Bornholms Regionskommune"
"We Know How You Grow - with less Energy";"02.12.2014";"31.08.2017";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"14.299.683";"7.149.841";"50%";"Vækstplaner i SMVer  We Know How You Grow with Less Energy
Formål: 
Projektet har som mål at skabe flere vækstvirksomheder inden for bæredygtighed og energieffektivisering i Region Syddanmark ved at fremme små og mellemstore virksomheders konkurrenceevne. 
Forventede effekter: 
Det er målsætningen at opnå en samlet effekt på 20 % øget eksport samt 10 % højere beskæftigelse blandt de deltagende virksomheder.
Aktiviteter: 
Dette skal opnås igennem en kvalificeret screening og rådgivning af de deltagende virksomheder med henblik på at udarbejde konkrete vækstplaner for de deltagende virksomheder. Fælles for projektets virksomheder er, at de er agroindustrielle leverandører af energibesparende teknologi og know how til landbrug, gartnerier og fødevareproduktion. Målsætningen er, at disse leverandører af teknologi oplever en stor vækst i projektets løbetid og efter dets afslutning. Projektet har opstillet en række aktiviteter, der skal sikre, at projektet opnår målsætningen om at skabe flere vækstvirksomheder inden for bæredygtighed og energieffektivisering. Aktiviteterne består af individuelle såvel som kollektive forløb. Virksomhederne vælger selv rådgivere, der forestår udarbejdelse af konkrete vækstplaner.
Yderligere oplysninger: 
CLEAN har påtaget sig operatørrollen, hvor både screeningen af virksomheder, en kvalificeringsfase for at klarlægge kompetencer og motivation mv., og administrationen af selve projektet bliver varetaget.  Fokus på netop dette område kommer ud fra en viden om, at udviklingen inden for de respektive sektorer er  og i tiltagende grad vil være  rettet imod en energieffektiv og bæredygtig produktion. 
";"R";"Syddanmark";"Denmark";"CLEAN";"Hindsgavl Alle 2";"5500";"Middelfart";"";"";"Lasse Bork Schmidt,,lbs@cleancluster.dk";""
"Vækst gennem udenlandske højtuddannede";"01.04.2015";"01.04.2018";"4 Uddannelse.
Erhv.fagl.udd.(voksne) og vid.udd.";"29.013.518";"14.506.759";"50%";"Vækst gennem udenlandske højtuddannede har til formål at sikre regionens virksomheder adgang til udenlandske højtuddannede, der er med til at sikre deres internationale konkurrenceevne.
Ambitionen med projektets hovedaktiviteter er at samle regionens talent aktører omkring konkrete og fokuserede aktiviteter, som udvikler og forbedrer regionens evne til at tiltrække og fastholde udenlandske højtuddannede.
Virksomhederne oplever i dag tre centrale udfordringer i forhold til at sikre adgangen til de efterspurgte kompetencer: a) Virksomhederne efterspørger medarbejdere med globale kompetencer b) Stor ubalance i udbud og efterspørgsel af visse kompetencer og medarbejdertyper især inden for de naturvidenskabelige- og tekniske områder, hvorfor der for eksempel frem mod 2020 vil mangle 13.574 ingeniører (Prognose for mangel på ingeniører og scient.er, IDA, 2011).c) Talent paradoks, hvilket betyder at der til trods for relativ høj generel ledighed er der mangel på medarbejdere med de specifikke kompetencer, som efterspørges af virksomhederne. 
Tiltrækning og fastholdelse af udenlandske højtuddannede er derfor afgørende for at sikre, at virksomhedernes vækstpotentiale bliver udnyttet. Tilsvarende lokaliserer videnstunge virksomheder sig dér, hvor talentet findes. Derfor er det afgørende for Region Hovedstaden, at Greater Copenhagen er attraktiv og synlig for udenlandske højtuddannede, hvilket projektet vil bidrage til.
Projektet vil igennem to målrettede indsatser øge virksomhedernes adgang til de efterspurgte kompetencer:
1: Udvikle og gennemføre et uddannelsesforløb målrettet udenlandske studerende på de danske universiteter, som giver dem de nødvendige kompetencer for direkte at indgå i de danske SMVer og gennem målrettet match-making bringe dem tættere på netop de virksomheder, som efterspørger deres kompetencer.2: Målrettede tiltrækningsforløb for udenlandske højtuddannede med bopæl uden for Danmark, hvor vi i samarbejde med virksomhederne styrker fortællingen om Greater Copenhagen, som karrierer destination og løfter den samlede attraktionsværdi med henblik på at tiltrække de højtuddannede udenlandske specialister og videnarbejdere. 
Projektet vil have følgende effekter:- 400 udenlandske højtuddannede studerende vil have fået kompetencer til at indgå direkte på det danske arbejdsmarked og dække et efterspurgt kompetencebehov.- Antallet af udenlandske højtuddannede med de virksomhedsefterspurgte kompetencer i regionen øges med 400 personer.
";"S";"Hovedstaden";"Denmark";"Copenhagen Capacity, fonden til markedsføring og erhvervsfremme i Hovedstaden";"Nørregade 7 B";"1165";"København K";"724540.465";"6176113.506";"Nikolaj Lubanski,+4522161511,nl@copcap.com";"Københavns Kommune.
Copenhagen Business School.
Danmarks Tekniske Universitet.
Københavns Universitet"
"Vækst 2.0";"24.04.2014";"31.08.2016";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"15.414.794";"7.707.397";"50%";"Formålet er at skabe vækst i 92 virksomheder med afsæt i strategi-/udviklingsarbejde, gennem kompetenceudvikling af ledere/medarbejdere, samt ved at fastholde eksisterende og tiltrække nye medarbejdere baseret på et gennemarbejdet strategisk beslutningsgrundlag.
Vækst 2.0 tjener samtidig som metodeudviklingsprojekt (nye virkemidler, nye metodikker mv.) hvor læringen implementeres og forankres, så den danner grundlag for fremtidige udviklingsprojekter. 
Projektet er faseopdelt: 
- Metodeudvikling, 
- Gennemførelse 
- Perspektivering
Ved at udvikle de rette metoder for gennemførelse, og sideløbende opsamle på resultaterne, skabes en projektmodel, der sikrer optimale vækstbetingelser for virksomhederne, samt at de periodeopdelte effektmål nås.
De virksomhedsrettede aktiviteter tager udgangspunkt i hovedaktiviteterne Forretnings-, Ledelses-, Eksport-, Proces-, Produkt- og Salgsudvikling (fase 2).
Der er valgt 3 specifikke indsatsområder (jf. Bilag 2):
- Vækst via Rådgivning - bruges når virksomheden står over for forandringer, der kræver en særlig indsats, for at vækstpotentialet udforskes og udnyttes.
- Vækst via Kompetenceudvikling - skal med afsæt i virksomhedens strategi igangsætte de rette kompetenceudviklingsforløb for ledere og medarbejdere.
- Vækst via Camps - baseres på synergien, der opstår, når egen virksomhed spejles i andres. Derved opnår ny læring og best practice fra ligesindede.
For at skabe størst mulig vækst, ønskes nye metodikker i tilgangen til vækstvirksomhederne afprøvet. 
Vækst 2.0 er bygget op omkring:
1:Differentiering: En screeningsmodel udarbejdes, for at kunne identificere og differentiere den enkelte virksomheds vækstpotentiale: A=højt, B=middel, og C=lavt.En ny kunde screenes, en vækstkortlægning udarbejdes, og vækstpotentialet vurderes ud fra en række væsktfaktorer.
2: Ansøgningsproces: På baggrund af de differentierede vækstpotentialer vil der være tilsvarende differentierede ressourcer at søge.Vækstpotentialevurdering foretages af en uvildig sparringsgruppe.
3: Forankring: Med afsæt i Transfer Learning sikres et tættere parløb med virksomhederne. Indsatsen forankres, så vægtningen af eksekvering/forankring opprioriteres  dette sikres ved et stort fokus både på før, under og efter.
";"R";"Nordjylland";"Denmark";"Væksthus Nordjylland";"Niels Jernes Vej 10";"9220";"Aalborg Øst";"560016.186";"6319238.093";"Heidi Stubberup Ebeling,20916754,hs@vhnordjylland.dk.
Helle Larsen,22718716,hl@vhnordjylland.dk";""
"Ungeindsats Aalborg";"01.01.2016";"30.09.2018";"3 Social inklusion.
Aktiv inklusion";"12.384.764";"5.999.179";"48%";"Projektets formålUngeindsats Aalborg vil ved hjælp af øget fleksibilitet og samarbejde og med en intensiv, koordineret indsats fra Uddannelseshusets sagsbehandlere og rådgivere i UU Aalborg få flere unge gjort uddannelsesparate og fastholdt i en ungdomsuddannelse ved at have et øget fokus på støtte i overgange. Ideen tager udgangspunkt i, at kommunen har en bred og godt dækkende vifte af forberedende tilbud, som dog vil kunne gøres endnu bedre ved en øget fleksibilitet og samarbejde mellem aktørerne. Samarbejdet mellem aktørerne og den koordinerede intensive indsats fra Uddannelseshuset er gensidigt afhængige og vil understøtte hinanden gennem projektet. 
Projektets aktiviteter
Der oprettes et fleksibelt mobilt koordinerende team med Jobcenter-sagsbehandlere og UU-vejledere. I dette team har sagsbehandlerne et begrænset antal sager og vil derfor kunne oprette en bedre relation til den enkelte unge og kunne lave en håndholdt individuel indsats. Derudover vil der være ressourcer til vidensdeling og relationsopbygning med uddannelsesaktørerne og de forberedende tilbud, så der kan skræddersys tilbud alt efter den enkelte unges behov. Hensigten er, at hver enkelt ung får den støtte og kontinuitet i indsatsen han/hun har behov for og derved bliver uddannelsesparat og fastholdt i uddannelse.
Der udvikles en samarbejdsaftale mellem aktørerne, som sikrer, at økonomiske og administrative barrierer ikke står i vejen for forskellige brobygningsforløb. Herved sikres den fleksible, individuelle tilgang udover projektets levetid og vil også i fremtiden kunne hjælpe flere unge i de svære overgange med valg, fastholdelse og gennemførelse af uddannelse. 
Projektets partnereProjektets partnere består af et bredt samarbejde bestående af AMU Nordjylland, Aalborg Kommunes Uddannelseshus (Jobcenter Ung, UU-Aalborg, Socialcenter Ung), Træningshøjskolen, TAMU, Aalborg Ungdomsskole, VUC Nordjylland, flere daghøjskoler (AOF, Fokus, Sind, Kvindedaghøjskolen), Lille Vildmose Produktionsskole og Aalborg Produktionsskole, Tech College, SOSU Nord, Aalborg Handelsskole og LO Aalborg. 
Projektets resultaterProjektets resultatmål er fastsat til, at 80 % af deltagerne vil gennemføre en ungdomsuddannelse. 
Projektets erfaringer og resultater vil blive fulgt nøje af Ungestrategiens Ledergruppe, som blandt andet står for udarbejdelsen af Aalborg Kommunes Ungestrategi.
";"S";"Nordjylland";"Denmark";"AMU Nordjylland";"Sofievej 61";"9000";"Aalborg";"558579.64";"6320755.951";"Knud Dal,9633 2315,knud@amunordjylland.dk.
Marie Vingaard Bové,9633 2228,mvb@amunordjylland.dk";"Aalborg Kommune"
"Bornholm ud i verden";"01.01.2016";"31.12.2019";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"17.793.620";"7.606.810";"43%";"Mange små og mellemstore virksomheder har vækst på dagsordenen, men er tilbageholdende med at igangsætte vækstaktiviteter. Erfaringerne viser, at der er særlige udfordringer, når det internationale arbejde igangsættes. Det er typisk manglende viden om udbuds- / efterspørgselsforhold, konkurrence og prisparameter - på et givent marked. Det kan oså være spørgsmål som distributionsforhold, importregler, offentlig regulering og kulturelle barrierer mv, og hvad skal den internationale markedsstrategi så være! Afklaringen af bl.a. disse forhold er nødvendige for, at kunne udvikle og kvalificere samt igangsætte virksomhedens internationale vækstplan.Væksthuset vil over de kommende 4 år finde 36 bornholmske virksomheder, som tilbydes støtte til at udvikle en international vækstplan, som på sigt skal gøre dem til vækstvirksomheder. Virksomhederne findes med udgangspunkt i den aktuelle erhvervsudviklingsstrategi fra Bornholms Vækstforum og inden for især fødevarer og turisme. Virksomhederne skal have gode forudsætninger og magte internationalisering på et ambitiøst niveau.De deltagende virksomheder har ved forløbets slutning en international vækstplan, med særligt fokus på handling og skalering af virksomhedens muligeheder på et til to markeder.Den viden som opnås gennem projektet vil, dels kunne anvendes af andre virksomheder, idet ønsket bla også er, at de deltagende virksomheder vil være rollemodeller for andre bornholmske virksomheder. Men også indgå i udvikling af Væksthusets grundlæggende tilbud, og vil blive anvendt i dialog med Eksportrådet om tilpasning af deres ydelser.Et andet ønske er, at denne proces og projekt kan danne grundlag for yderligere samarbejder mellem bornholmske / danske virksomheder samt fx danne grundlag for etableringen af et bornholmsk eksportnetværk, og dermed styrke den internationale markedsadgang på tværs af brancher på Bornholm..
";"R";"Bornholm";"Denmark";"Væksthus Hovedstadsregionen";"Fruebjergvej 3";"2100";"København Ø";"722977.826";"6180109.341";"Lars Albæk,30108109,la@vhhr.dk";""
"Udvikling af praktikpladsordninger i SMV'er i Region Sjælland";"01.10.2015";"30.09.2018";"4 Uddannelse.
Erhvervsuddannelser";"26.361.200";"13.180.600";"50%";"Udvikling af praktikpladsordninger i SMV'er i Region Sjælland.
Formålet med projektet er, at flere unge gennemfører en erhvervsuddannelse. Dette vil ske gennem et opsøgende arbejde, hvor der etableres et øget antal aktive praktikpladser og hermed skabes grobund for, at flere gennemfører en kompetencegivende uddannelse. Mere faglært arbejdskraft vil på sigt styrke virksomhedernes udviklingsmuligheder og regionens økonomi. 
Der vil de kommende år opstå en række muligheder for at der kan skabes flere praktikpladser hos små og mellemstore virksomheder, på baggrund af virksomhedernes bevidsthed om mangel på faglært arbejdskraft. Dette vil bl.a. opstå i forbidelse med mangel på arbejdskraft opstået i forbindelse med de store anlægsinvesteringers op sugen af arbejdskraft i øvrige brancher. 
De konjunkturudsving som vil opstå inden for de forskellige brancher, vil påvirke udbuddet af praktikpladser en del. Der vil i perioder være behov for en øget koordinering mellem praktikcentrene for at sammensætte uddannelsesforløbene mest optimalt. I denne forbindelse skal der på praktikcentrene og skolerne være fokus på at eleverne er geografisk mobile. 
For at sikre, at det administrative arbejde ikke bliver en hindring for at virksomhederne, styrkes indsatsen for at rådgive (Hot-line og vejledning) virksomhederne ved oprettelse af de nye praktikpladser. Med indførelse af ny procedurer og skemaer pr. 1. august 2015 bliver denne indsats aktualiseret yderligere.
For at opnå formålet vil projektet:- Kontakte SMV som forventes at få stigende behov for arbejdskraft, enten afledt af det øgede aktivitetsniveau eller på grund af mistet arbejdskraft til de store anlægsinvesteringer, med henblik på at skaffe nye praktikpladser. Det gælder ikke kun nye virksomheder, men også virksomheder som ikke har aktiveret deres godkendelse til at ansætte lærlinge. - Foranstalte rådgivning til virksomhederne med henblik på det administrative arbejde i forbindelse med oprettelse af de nye aftaler. - Sikre en koordinering af mulighederne for at sammensætte korte aftaler og delaftaler til fornuftige uddannelsesforløb for elev og virksomhed. Dette skal ske i tæt samarbejde med projektet Praktik på store byggerier Sjælland og Hovedstaden
";"S";"Sjælland";"Denmark";"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster";"Kringelborg Alle 7";"4800";"Nykøbing F";"686481.348";"6071891.733";"Tine Sejr Larsen,61632900,tsl@celf.dk";"Roskilde Handelsskole.
EUC Nordvestsjælland.
Uddannelsescentret i Roskilde.
Roskilde Tekniske skole"
"Strategi, mål og vækst (SMV)";"03.02.2015";"03.02.2018";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"36.003.008";"18.001.504";"50%";"Strategi, Mål og Vækst (SMV).
Projektet har til formål at styrke de strategiske kompetencer i 100 af Region Sjællands virksomheder via strategiworkshops, individuel virksomhedsopfølgning, temamoduler, samt organisations- og kompetenceudvikling af ledere og medarbejdere. Projektet har i henhold til den regionale Vækst- og Udviklingsstrategi et særligt fokus på Revus-brancherne, der er kernemålgruppen. 
410 deltagere vil i projektet gennemgå aktiviteter, der øger deres ambitioner og omstillingsparathed. Projektet vil på sigt føre til ansættelsen af ekstra 250 fuldtidsbeskæftigede i de deltagende virksomheder to år efter deres deltagelse.
Projektet vil føre til en ny samlet metode til at arbejde med strategi i Region Sjællands SMVer. Projektets tilgang involverer en to-ledet tilgang, der både skal styrke (1) virksomhedsledelsen strategiske ledelseskompetencer, samt (2) virksomhedens organisatoriske kapacitet og kompetencer for vækst og omstilling. De to dele er gensidigt afhængigt af hinanden og leder i kombination til en samlet styrkelse og realisering virksomhedens vækstpotentiale. 
Der designes et fleksibelt strategiprogram således, at det kan imødekomme virksomhedernes aktuelle strategiske tilstand og behov. Til at facilitere processen, tilknyttes hver virksomhed en proceskonsulent, der skal guide virksomheden igennem forløbet under hensynstagen til den enkelte virksomheds aktuelle tilstand og strategi. Virksomhederne starter med at indgå et strategiworkshopforløb, hvorefter virksomhederne kan indgå i fælles temamoduler og individuel organisations- og kompetenceudvikling. Til at understøtte den individuelle organisations- og kompetenceudvikling gives virksomhederne mulighed for at tilknytte privat rådgivning og eksterne kursusforløb igennem flere forskelle dele af processen. 
Til sammen repræsenterer elementerne i programmet en bevægelse fra den ureflekterede virksomhed, der er styret af driften, til en strategisk afklaret og kompetent virksomhed, der i stand til at sætte strategiske mål og gennemføre dem. Dette vil lede til en styrket realisering af virksomhedernes vækstpotentiale og på sigt lede til øget beskæftigelse blandt de deltagende virksomheder.
";"S";"Sjælland";"Denmark";"Den Erhvervsdrivende Fond Væksthus Sjælland";"Marienbergvej 132, 1.";"4760";"Vordingborg";"685015.4";"6098352.47";"Jonas Holm,22 57 53 17,jh@vhsj.dk";""
